trial,k,members,weights,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
465,8,"A13,A2,A5,B9,E10,F13,F2,I3","0.1917,0.2108,0.0845,0.0194,0.1044,0.1044,0.0917,0.1930",0.42482641782078095,0.2559106830122592,0.6466725043782837,5.919220665499124,19979,13704
161,7,"A2,A6,B10,B3,D4,E4,I1","0.0216,0.0250,0.1059,0.0811,0.1651,0.3340,0.2672",0.42482141401772605,0.25758902510216,0.642221249270286,5.91104786923526,19979,13704
363,6,"A13,B10,B7,C6,E9,I1","0.2441,0.2913,0.0632,0.2036,0.1908,0.0071",0.4248100079779519,0.25430531231757153,0.6454319906596614,5.919439579684764,19979,13704
395,9,"A11,A2,B10,D11,D14,E10,E6,E7,I3","0.0505,0.0171,0.1448,0.0113,0.1887,0.0992,0.3239,0.1628,0.0017",0.4248092220648147,0.2555458260361938,0.6449211908931699,5.915353181552831,19979,13704
22,7,"A11,A6,B1,E3,E9,F1,I1","0.0360,0.2179,0.2970,0.1142,0.0457,0.2827,0.0066",0.4248086599598523,0.25518096906012844,0.6447752481027437,5.9173234092235845,19979,13704
389,6,"B1,D4,H2,I1,I3,I6","0.3059,0.2721,0.0738,0.1442,0.0347,0.1693",0.4247756293475514,0.2565674255691769,0.6428779918272037,5.906888499708114,19979,13704
286,9,"A1,A13,A5,A6,B1,C6,E3,I1,I3","0.1544,0.0330,0.0132,0.3676,0.0620,0.1514,0.0132,0.0946,0.1105",0.42477432669359033,0.2562755399883246,0.6440455341506129,5.912361354349095,19979,13704
324,6,"A1,A11,B10,E3,H2,I1","0.0045,0.2817,0.0350,0.3470,0.0496,0.2822",0.4247706260031252,0.2540863981319323,0.6449941622883829,5.921190893169878,19979,13704
322,9,"A2,B10,C9,E4,E6,F1,F8,I1,I3","0.0080,0.0062,0.1150,0.0257,0.3301,0.0283,0.1149,0.1528,0.2189",0.4247689470492861,0.2543782837127846,0.6447752481027437,5.915061295971979,19979,13704
446,6,"B1,C6,D14,D4,E10,F13","0.2119,0.1648,0.2724,0.1846,0.0480,0.1182",0.42474462047019806,0.2559836544074723,0.6440455341506129,5.909077641564506,19979,13704
332,7,"A1,A11,B7,B9,C6,E4,F8","0.1154,0.0962,0.1056,0.1940,0.0401,0.0539,0.3948",0.4247385667728143,0.2543782837127846,0.6440455341506129,5.925861062463515,19979,13704
296,6,"B10,B3,C6,D11,D14,F13","0.2075,0.0294,0.0810,0.1950,0.2449,0.2423",0.42473541995320446,0.2561295971978984,0.6447752481027437,5.914550496205488,19979,13704
469,5,"A13,B1,E7,F13,I6","0.3079,0.2833,0.2855,0.0031,0.1202",0.4247319129684547,0.25503502626970226,0.6452860478692353,5.906596614127262,19979,13704
92,10,"A5,B6,C8,C9,D11,D4,E7,F13,F8,I6","0.0138,0.3145,0.0191,0.1327,0.0164,0.1230,0.0289,0.0666,0.1619,0.1231",0.42472951637633655,0.25415936952714535,0.6461617046117922,5.908566841798015,19979,13704
245,8,"B1,B9,C9,E10,F1,F13,F2,I1","0.1405,0.1727,0.1000,0.2875,0.0766,0.1298,0.0547,0.0381",0.4247240165059088,0.2546701692936369,0.6455049620548745,5.923307063631056,19979,13704
