trial,k,members,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
441,7,"A11,B7,C6,D14,E10,E4,F1",0.424908334903311,0.25569176882662,0.645067133683596,5.910683012259194,19979,13704
313,9,"A1,A11,B10,B3,D14,E7,E9,F13,F8",0.4249075591610421,0.25459719789842383,0.6446293053123175,5.91009924109749,19979,13704
91,7,"A2,B3,B9,C9,E10,E7,I6",0.4249068633479628,0.25518096906012844,0.6458698190309399,5.906815528312901,19979,13704
132,8,"A2,C11,E3,E6,F13,F8,I1,I3",0.4249054739920528,0.2548161120840631,0.6466725043782837,5.9034588441331,19979,13704
272,7,"A2,B1,D11,E10,E4,F13,H2",0.4248957513667299,0.25664039696438995,0.6444833625218914,5.905210157618214,19979,13704
409,7,"A2,B1,B9,C8,C9,D11,I1",0.4248945050284304,0.2545242265032107,0.6444833625218914,5.907545242265032,19979,13704
444,10,"A1,A13,B6,C11,E4,F13,F2,H2,I3,I6",0.4248942633744008,0.25605662580268534,0.6444103911266783,5.900758902510216,19979,13704
406,8,"B3,B9,D4,E7,E9,F1,F8,I1",0.4248936332068476,0.25488908347927614,0.6446293053123175,5.910391126678342,19979,13704
283,5,"A5,A6,B1,B6,B7",0.42489290268923746,0.25445125510799765,0.6436806771745476,5.920315236427321,19979,13704
161,5,"B3,C8,E1,E3,E9",0.4248890601594816,0.2564214827787507,0.6445563339171045,5.9029480443666085,19979,13704
481,7,"A2,B10,C6,C8,E1,E6,F8",0.424884153290948,0.2543782837127846,0.6453590192644484,5.908712784588442,19979,13704
80,5,"A11,A6,B1,D11,E3",0.4248809987659491,0.2553998832457677,0.6453590192644484,5.916009924109749,19979,13704
122,10,"B1,B7,C11,C8,D4,E3,E6,F1,F13,I6",0.42487581914139577,0.2540863981319323,0.6457968476357268,5.9023642732049035,19979,13704
74,6,"A5,B10,C9,F1,H2,I6",0.42487497176530126,0.2543782837127846,0.6465995329830706,5.91768826619965,19979,13704
320,5,"A11,E1,E4,F8,I3",0.4248746285253801,0.25532691185055456,0.6452130764740222,5.912434325744308,19979,13704
237,8,"A1,A13,B6,B7,C6,E1,F1,H2",0.4248699353553171,0.25605662580268534,0.6426590776415645,5.906888499708114,19979,13704
369,6,"A2,A5,B10,B6,D14,I1",0.4248692097717445,0.25474314068884996,0.6440455341506129,5.904772329246935,19979,13704
483,5,"A13,B10,B6,F13,I1",0.42486863648671697,0.2551079976649154,0.6455779334500875,5.899372446001167,19979,13704
