ensemble_id,exp_id,date,member_ids,n_members,weighting,agg_method,local_ndcg5,kaggle_ndcg5,notes,method,members,weights,ndcg5,recall1,recall5,mean_booked_rank,beats_v4,n_queries,n_booked,note
W2_random_weights_014,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.3856,0.0046,0.1529,0.0656,0.0189,0.0945,0.2024,0.0573,0.0006,0.0176",0.42585821328160983,0.2577349678925861,0.6445563339171045,5.910610040863982,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 362"
W2_random_weights_015,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.2130,0.0868,0.1782,0.1345,0.2404,0.0528,0.0405,0.0185,0.0075,0.0278",0.425858165039545,0.2561295971978984,0.6452860478692353,5.9142586106246355,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 163"
W2_random_weights_016,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.3278,0.0219,0.1105,0.0511,0.1372,0.1573,0.0423,0.0521,0.0595,0.0404",0.42581849049366244,0.25751605370694686,0.6441914769410391,5.91082895504962,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 107"
W2_random_weights_017,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.0643,0.0105,0.1411,0.1052,0.1797,0.1131,0.1234,0.2119,0.0135,0.0374",0.42580358003467317,0.2558377116170461,0.6457238762405137,5.914550496205488,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 230"
W2_random_weights_018,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.3952,0.0660,0.0468,0.0148,0.3442,0.0378,0.0070,0.0363,0.0193,0.0326",0.4257881926815133,0.2562755399883246,0.6448482194979568,5.919877408056042,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 133"
W2_random_weights_019,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.1232,0.0057,0.0280,0.0996,0.2726,0.0518,0.0506,0.1720,0.1807,0.0159",0.4257734437639628,0.2562755399883246,0.6457968476357268,5.916812609457093,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 134"
W3_random_pool_weights_000,,,,9,,,,,,WILDCARD_random_pool_and_weights,"A1,A2,B1,B7,C9,D4,E10,E3,F8","0.1686,0.0843,0.1377,0.2154,0.0463,0.0507,0.0202,0.0162,0.2607",0.42590693960453424,0.2549620548744892,0.6449941622883829,5.90725335668418,YES,19979.0,13704.0,WILDCARD W3 trial 68
W3_random_pool_weights_001,,,,9,,,,,,WILDCARD_random_pool_and_weights,"A11,A2,A6,B3,B6,B7,C9,D11,F13","0.2622,0.0376,0.1419,0.1515,0.0080,0.0450,0.1142,0.1498,0.0899",0.4257920283703553,0.25605662580268534,0.6457238762405137,5.908056042031523,YES,19979.0,13704.0,WILDCARD W3 trial 422
W3_random_pool_weights_002,,,,9,,,,,,WILDCARD_random_pool_and_weights,"A1,B10,B6,B7,D14,D4,E1,E4,E9","0.0139,0.0593,0.1718,0.1195,0.2415,0.0355,0.0181,0.0240,0.3163",0.42575589938302216,0.25634851138353765,0.6453590192644484,5.904845300642148,YES,19979.0,13704.0,WILDCARD W3 trial 427
W3_random_pool_weights_003,,,,10,,,,,,WILDCARD_random_pool_and_weights,"A5,B10,B7,C9,D11,D4,E4,I1,I3,I6","0.0016,0.1975,0.0086,0.3424,0.0723,0.1110,0.0409,0.1133,0.0717,0.0407",0.42573114058198674,0.2553998832457677,0.6465995329830706,5.911631640396965,YES,19979.0,13704.0,WILDCARD W3 trial 403
W3_random_pool_weights_004,,,,6,,,,,,WILDCARD_random_pool_and_weights,"A1,A13,B10,C9,E4,F8","0.1230,0.2816,0.1584,0.2405,0.0537,0.1429",0.425701356668437,0.2546701692936369,0.6457238762405137,5.91199649737303,YES,19979.0,13704.0,WILDCARD W3 trial 262
W3_random_pool_weights_005,,,,8,,,,,,WILDCARD_random_pool_and_weights,"B10,B3,B7,C9,E10,E4,E6,H2","0.0664,0.0606,0.0989,0.0721,0.0293,0.1189,0.2680,0.2858",0.42566413791993557,0.25459719789842383,0.6473292469352014,5.914550496205488,YES,19979.0,13704.0,WILDCARD W3 trial 79
W3_random_pool_weights_006,,,,6,,,,,,WILDCARD_random_pool_and_weights,"B10,C11,C8,D4,E4,F13","0.0613,0.1941,0.1391,0.2054,0.1326,0.2676",0.42565342626827785,0.2548161120840631,0.6474751897256276,5.905137186223,YES,19979.0,13704.0,WILDCARD W3 trial 491
W3_random_pool_weights_007,,,,10,,,,,,WILDCARD_random_pool_and_weights,"A1,A11,A5,B1,D14,E4,E7,E9,H2,I3","0.0422,0.0252,0.0695,0.0127,0.2383,0.1049,0.0255,0.1842,0.1049,0.1926",0.4256213136497478,0.2562025685931115,0.6449941622883829,5.90535610040864,YES,19979.0,13704.0,WILDCARD W3 trial 227
W3_random_pool_weights_008,,,,10,,,,,,WILDCARD_random_pool_and_weights,"A13,B10,B6,C6,E10,E7,H2,I1,I3,I6","0.1100,0.1629,0.0074,0.1209,0.1943,0.2547,0.0340,0.0019,0.0633,0.0507",0.4256176694385232,0.25693228254524225,0.6443374197314653,5.9042615294804435,YES,19979.0,13704.0,WILDCARD W3 trial 5
W3_random_pool_weights_009,,,,9,,,,,,WILDCARD_random_pool_and_weights,"A5,B1,B10,C6,D14,D4,E9,F2,I6","0.0704,0.1410,0.0564,0.1727,0.0817,0.1901,0.1490,0.0679,0.0709",0.4255349793584607,0.25459719789842383,0.6465995329830706,5.91199649737303,YES,19979.0,13704.0,WILDCARD W3 trial 399
W3_random_pool_weights_010,,,,6,,,,,,WILDCARD_random_pool_and_weights,"A6,B10,B3,C9,E6,I6","0.0260,0.1058,0.0719,0.1089,0.3925,0.2949",0.4255248426974267,0.2558377116170461,0.6455049620548745,5.926736719206072,YES,19979.0,13704.0,WILDCARD W3 trial 382
W3_random_pool_weights_011,,,,9,,,,,,WILDCARD_random_pool_and_weights,"A6,B10,B9,C8,C9,D14,E10,E3,I6","0.0735,0.0453,0.1444,0.1479,0.0704,0.1176,0.1044,0.0331,0.2634",0.4255244952867758,0.2537215411558669,0.646964389959136,5.913747810858144,YES,19979.0,13704.0,WILDCARD W3 trial 494
W3_random_pool_weights_012,,,,6,,,,,,WILDCARD_random_pool_and_weights,"A1,B1,B3,C8,E9,H2","0.0194,0.3429,0.2691,0.1787,0.0480,0.1420",0.42549656008796627,0.2555458260361938,0.6434617629889083,5.921555750145942,YES,19979.0,13704.0,WILDCARD W3 trial 371
W3_random_pool_weights_013,,,,9,,,,,,WILDCARD_random_pool_and_weights,"A6,B10,B3,D11,D14,E3,E4,E9,I1","0.0913,0.0493,0.1747,0.1980,0.0977,0.1939,0.1243,0.0256,0.0452",0.4254941484947799,0.2561295971978984,0.6454319906596614,5.906085814360771,YES,19979.0,13704.0,WILDCARD W3 trial 478
W3_random_pool_weights_014,,,,7,,,,,,WILDCARD_random_pool_and_weights,"A11,A13,A5,B1,B3,E7,I3","0.1822,0.0509,0.0132,0.1297,0.3029,0.1502,0.1708",0.42548988087424566,0.2570052539404553,0.6434617629889083,5.919950379451255,YES,19979.0,13704.0,WILDCARD W3 trial 149
W3_random_pool_weights_015,,,,10,,,,,,WILDCARD_random_pool_and_weights,"A11,A13,B1,B3,B7,C8,C9,E4,I1,I6","0.3334,0.0353,0.0203,0.0041,0.2634,0.0220,0.1320,0.0157,0.0453,0.1285",0.42546865601229666,0.2559836544074723,0.6447752481027437,5.9035318155283125,YES,19979.0,13704.0,WILDCARD W3 trial 254
W3_random_pool_weights_016,,,,10,,,,,,WILDCARD_random_pool_and_weights,"A13,A2,B7,C6,D14,E1,E3,E4,F1,I3","0.2376,0.0060,0.1027,0.0238,0.0829,0.0441,0.0544,0.0063,0.0263,0.4161",0.42546405612257865,0.25634851138353765,0.6449211908931699,5.90915061295972,YES,19979.0,13704.0,WILDCARD W3 trial 202
W3_random_pool_weights_017,,,,10,,,,,,WILDCARD_random_pool_and_weights,"A1,A6,B1,B3,B7,B9,C11,E4,E9,I3","0.2071,0.0325,0.0415,0.0801,0.0052,0.1153,0.0639,0.3355,0.0529,0.0661",0.4254495953642077,0.2549620548744892,0.6449941622883829,5.906961471103328,YES,19979.0,13704.0,WILDCARD W3 trial 146
W3_random_pool_weights_018,,,,3,,,,,,WILDCARD_random_pool_and_weights,"A13,B10,B3","0.4764,0.0865,0.4371",0.4254477096245237,0.25605662580268534,0.6447022767075307,5.9306771745475775,YES,19979.0,13704.0,WILDCARD W3 trial 78
W3_random_pool_weights_019,,,,9,,,,,,WILDCARD_random_pool_and_weights,"A11,B10,B9,C8,C9,E4,E6,F1,F8","0.1065,0.1970,0.0488,0.1643,0.0312,0.0632,0.0994,0.2089,0.0807",0.4254380037017062,0.2553998832457677,0.6449941622883829,5.911339754816112,YES,19979.0,13704.0,WILDCARD W3 trial 155
