config_name,label_gain,seed,num_leaves,learning_rate,best_iter_random,n_features,n_features_reported,random_ndcg5,temporal_ndcg5,temporal_recall1,temporal_recall5,temporal_mbr,delta_temporal_vs_anchor,delta_temporal_vs_random
A1,"0,2,12",456,400,0.03,385,143,143,0.4220514324555018,0.4857015545138497,0.32014157014157013,0.7207564707564708,4.743958243958244,0.08169155451384974,0.06365012205834791
D12,"0,2,15",456,400,0.03,367,138,138,0.419328069214686,0.4855413618161657,0.32246532246532245,0.719040469040469,4.769412269412269,0.08153136181616571,0.06621329260147968
B5,"0,2,15",456,400,0.03,368,143,143,0.4208915732474889,0.4850183277334137,0.31495781495781494,0.715036465036465,4.836300586300586,0.08100832773341371,0.06412675448592481
E10,"0,2,15",456,400,0.03,380,143,143,0.4210224847364751,0.48473954307154293,0.3209280709280709,0.7203274703274704,4.751251251251252,0.08072954307154295,0.06371705833506786
C7,"0,3,15",123,400,0.03,379,143,143,0.4194616532691804,0.48329805039453305,0.31735306735306734,0.7179679679679679,4.773201773201773,0.07928805039453307,0.06383639712535266
E1,"0,2,15",456,255,0.03,611,143,143,0.4220263276180668,0.48308969908846827,0.31653081653081655,0.7206492206492207,4.725475475475475,0.07907969908846829,0.06106337147040147
F4,"0,2,15",456,400,0.03,362,143,143,0.4178841254706369,0.4827089265593719,0.31892606892606895,0.7294794794794794,4.546332046332046,0.07869892655937194,0.064824801088735
C5,"0,2,15",9999,400,0.03,363,143,143,0.4206051058633752,0.48264996289950723,0.31692406692406694,0.7178607178607178,4.802695552695552,0.07863996289950725,0.06204485703613205
H5,,456,400,0.03,784,143,143,0.4132942015373793,0.4804897966746054,0.28667953667953666,0.7397039897039897,4.280923780923781,0.07647979667460542,0.06719559513722612
H4,,456,400,0.03,784,143,143,0.4132942015373793,0.4804897966746054,0.28667953667953666,0.7397039897039897,4.280923780923781,0.07647979667460542,0.06719559513722612
B4,"0,2,15",456,400,0.03,328,143,143,0.4208334212552478,0.48020081611466425,0.3160660660660661,0.7119619619619619,4.90000715000715,0.07619081611466427,0.059367394859416445
H3,,456,400,0.03,739,143,143,0.4116387102961484,0.47944323678405837,0.3030530530530531,0.7648362648362649,4.025275275275275,0.07543323678405839,0.06780452648790997
C3,"0,2,15",789,400,0.03,351,143,143,0.4209438255379801,0.47922507447538903,0.3133848133848134,0.7133919633919634,4.845166595166595,0.07521507447538905,0.058281248937408936
D5,"0,2,15",456,400,0.03,353,100,100,0.4194923665698253,0.4782974924856369,0.31166881166881166,0.7134277134277134,4.857786357786358,0.07428749248563693,0.05880512591581161
A5,"0,3,12",456,400,0.03,344,143,143,0.4210860870131338,0.4781159476479973,0.31177606177606176,0.7124267124267124,4.861468611468611,0.07410594764799733,0.05702986063486348
A11,"0,5,20",456,400,0.03,344,143,143,0.4210860870131338,0.4781159476479973,0.31177606177606176,0.7124267124267124,4.861468611468611,0.07410594764799733,0.05702986063486348
F6,"0,2,15",456,400,0.03,369,143,143,0.4190322403319824,0.47751012396295345,0.32210782210782213,0.722937222937223,4.720434720434721,0.07350012396295347,0.05847788363097106
F5,"0,2,15",456,400,0.03,349,143,143,0.4182810046397962,0.4772693493184218,0.32214357214357214,0.7157157157157157,4.845953095953096,0.07325934931842182,0.058988344678625626
D8,"0,2,15",456,400,0.03,380,72,72,0.4175554023746609,0.47689782623532645,0.308022308022308,0.7111754611754612,4.869154869154869,0.07288782623532647,0.05934242386066557
F9,"0,2,15",456,400,0.03,332,131,131,0.4203280643873113,0.47553723894513483,0.30927355927355926,0.7091734591734592,4.920563420563421,0.07152723894513485,0.05520917455782354
